Unnamed: 0,이름,세부장르,장소,일시,출연진,Staff,줄거리
36,빨래,창작,유니플렉스 2관,2023.02.09 ~ 2023.10.01,"강연정, 박은미, 장혜민, 조상웅, 문남권, 강기헌, 최정화, 진미사, 조영임, 양미경, 백지예, 김은지, 장격수, 이승헌, 이강혁, 김지훈, 심우성, 이태오, 박건우, 이윤성","추민주, 김효환","서울살이 5년차, 나영 집세와 나이는 늘어가지만 꿈은 닳아 지워진 지 오래다. 작가가 되고 싶었던 꿈과는 달리, 나영의 직업은 서점 직원. 서울살이 5년차, 몽골청년 솔롱고 꿈을 좇아 한국에 왔지만 이번 달 월급조차 밀릴 위기다. 어느 날, 우연히 바람에 날려 온 나영의 빨래를 계기로 두 사람은 점점 가까워진다. 나영은 직장에서 부당한 일에 맞서다 불이익을 당하고, 솔롱고는 방세를 내지 못해 쫓겨날 위기다. 서로의 아픔을 알게 되었지만 할 수 있는 것이 없어 참아야만 하는 두 사람. 희정엄마와 주인할매는 힘 없이 주저앉아 울고있는 나영에게 자신들의 이야기를 전하며 위로를 건네고, 나영은 다시 일어설 용기를 얻게 되는데..... 직장인, 버스기사, 학생, 일용직 노동자, 서울살이 10년차 희정엄마, 그리고 어느덧 서울살이 45년차 주인할매. 각자 마음 속에 아픈 사연을 안고 살아가는 사람들의 이야기, 빨래"
37,"사람, 꽃 피우다 - 익산",창작,함라한옥체험단지,2023.06.10 ~ 2023.10.28,,,
38,사칠,창작,대학로 드림아트센터 2관,일시 : 2023.08.29 ~ 2023.11.05,"진태화, 변희상, 김찬종, 이종석, 박정혁, 홍기범","송은도, 이지현","의무소방원 시절부터 특급 소방이라 불리며 최강 소방전 지역 예선 2등까지 했지만, 현재는 소방행정과에서 장비계 창고에서 소방 물품을 정리하는 일을 하고 있는 '안정원'은 오늘도 소방 물품 정리에 여념이 없다. 의무소방 시절 후임 '강이준'이 같은 소방서로 발령이 난다. ""소방! 신고합니다. 소방사 강이준은 2010년 5월 18일부로 원척 소방서로 배치를 명 받았습니다. 이에 신고합니다. 소방."""
39,삼총사,라이선스,한전아트센터,2023.09.15 ~ 2023.11.19,"박장현, 후이, 렌, 유태양, 민규, 이건명, 최대철, 김형균, 김신의, 김현수, 신인선, 최오식, 장대웅, 조순창, 안유진, 류비, 이윤하, 지수연, 서범석, 강동우",,"17세기 파리, 위대한 전설이 시작된다! 최고의 이야기꾼! 세대와 국경을 넘어 지금까지도 사랑받고 있는 대문호 알렉상드르 뒤마의 걸작 <삼총사>가 무대 위에 펼쳐지다! 왕실 총사를 꿈꾸는 청년 ‘달타냥’과 프랑스 왕의 친위부대 삼총사 ‘아토스’, ‘아라미스’, ‘포르토스’ 세 사람의 우정과 모험!"
40,세례요한,창작,북촌나래홀,일시 : 2021.07.17 ~ 2023.09.30,"서태경, 이수함, 임미영, 이성미, 박민규, 서영민","서은영, 김찬","광야에서 예수님이 오실 길을 예비하는 사명자로 태어난 세례요한은 종교지도자들과 정치권력자들의 부패와 죄를 보며 그들에게 '회개하라고 외친다. 동생의 아내 헤로디아와 결혼한 헤롯왕은 요한 주위에 구름처럼 몰려드는 사람들과 제자들의 모습을 보면서, '요한'을 두려워 하여 그를 가장 참혹한 '3호실' 감옥에 가둔다. 비참한 감옥 안에서 하루하루 죽을 날만 기다리는 '세례요한. 제자들과 그를 따르던 사람들이 그의 사촌 예수에게 떠난다는 소식이 들리는 가운데 '요한'은 제자를 예수에게 보내 “오실 그이가 당신입니까? 아니면 다른 이를 기다려야 합니까?"" 라는 질문을 한다. 하지만 ""나를 인해 실족지 않는 사람은 복이 있다""라는 말을 들은 '요한'은 더욱 깊은 혼란에 빠져들게 되는데.."
41,셜록홈즈,창작,두산아트센터 연강홀,2023.09.14 ~ 2023.11.12,"송용진, 김준현, 오종혁, 구민진, 방진의, 최우리, 조성윤, 김우진, 이석준, 정명은, 린지, 박새힘, 조남희, 김수정, 양희웅","김유철, 이형주","19세기 말 런던 크리스마스이브. 영국 최고의 명문가 앤더슨가에서 울린 두 발의 총성 그리고 사라진 한 여인! 보름 후, 거액의 사례금과 ‘셜록홈즈’의 사무실로 앤더슨 가의 세 남자가 찾아온다. 유일한 상속자로 모든 것을 손에 쥔 형 ‘아담 앤더슨’, 1분 차이로 모든 것을 포기해야 했던 그의 쌍둥이 동생 ‘에릭 앤더슨‘, 그리고 두 형제의 숙부 ‘포비 앤더슨’ 세 명의 의뢰는 단 하나! “루시 존스를 찾아 주시오!” 범죄가 없는 런던에 지루해하던 셜록은 새로운 사건에 흥분하며 왓슨과 함께 사건을 맡는다. 수사가 시작되자 ‘앤더슨가‘ 주변의 인물들이 한 명씩 살해당하기 시작하는데…"
42,셰프,퍼포먼스,명보아트홀 가온홀,2023.08.01 ~ 2023.12.31,,,
43,쇼맨,뮤지컬,국립정동극장(서울),2023.09.15 ~ 2023.11.12,"윤나무, 신성민, 강기둥, 정운선, 박란주, 이수빈, 안창용, 장민수, 이현진, 김연진, 김대웅, 장두환, 이다정, 전성혜",,
44,스크루테이프의 편지,창작,북촌나래홀,2022.01.01 ~ 2023.10.28,,,
45,스페셜 ,뮤지컬,해당공연 공연장,2023.03.02 ~ 2023.12.31,"김성한, 주승훈, 권용덕",최희정,"""매력있고 꾸밈이 없는 밝고 따뜻한 아이들의 이야기"" 시골 한적한 작은 학교에 싸움으로 인해 현태가 강제 전학을 오게 된다. 그곳에서 영석이라는 친구와 한나라는 친구 그리고 선생님을 만나게 된다. 이 곳 학급은 소규모의 학생으로 이루어져 있다. 수학여행을 간다는 얘기를 듣고 회비를 걷는 날, 영석의 회비가 사라졌다. 현태가 가져가는 걸 본 영석은 선생님한테 말하지 않는데…"
46,시스터즈,뮤지컬,홍익대 대학로 아트센터 대극장,2023.09.03 ~ 2023.11.12,"유연, 신의정, 선민, 황성현, 김려원, 하유진, 정유지, 이예은, 이서영, 정연, 홍서영","전수양, 박칼린","빛바랜 사진 속에서 다시 화려하게 부활하는 레전드들 그들의 스타성 그리고 그들의 기깔나는 공연 일제 강점, 전쟁, 가난, 대중문화에 대한 억압과 편견 등 척박한 환경을 극복하고 항상 당당하고 멋있었던 그녀들! 다음 세대 시스터즈들에게 영감이 되었던 레전드의 무대가 오늘 뮤지컬 무대 위에서 화려하게 부활한다! 최고의 아날로그 무대가 하이테크로 완성되다 일제 강점기 경성, 미8군 무대, 라스베가스 호텔 등 역사 속 다양한 장소들과 시대를 관통했던 사건들을 오가는 하이테크 무대 다큐멘터리와 모큐멘터리를 오가는 시스터즈들의 처절하고 아름다운 이야기 시대의 음색을 그대로 재현하는 10인조 밴드와 함께 선보이는 최고의 히트곡들 하이테크 기술을 통해 가장 아날로그적 감성이 풍기는 무대로 재현될 시스터즈들의 활약상"
47,신데렐라,어린이/가족,스타스테이지 (구 원패스아트홀),2023.05.07 ~ 2023.10.29,,,"""어려서 부모님을 잃고 계모와 언니들에게 괴롭힘을 당하는 신데렐라. 하지만 온갖 구박을 받으면서도 용기를 잃지 않고 살아갑니다. 궁전에서 열리는 무도회에 가고 싶지만 갈 수 없는 신데렐라. 어느날 요술할머니가 나타나 신데렐라의 꿈을 실현시켜줍니다. 샤바라 샤바라라 팡! 호박은 마차로, 쥐들은 말과 마부로, 누더기옷은 화려한 드레스로 요술 할머니의 신비한 주문으로 무도회에 가게 된 신데렐라. 궁전에서 왕자님을 만나 꿈 같은 밤을 보내지만 자정이 되자 요술할머니의 마법이 모두 풀리고, 오직 유리구두만이 빛날 뿐이었습니다. 누더기 옷을 입은 채 초라한 일상으로 돌아간 신데렐라. 그러나 우리의 왕자님은 유리구두를 남기고 간 신데렐라를 잊지 못하는데....."
48,신비아파트,어린이/가족,디큐브 링크아트센터,2023.09.02 ~ 2023.10.09,,"김철현, 전상헌","<붉.은.눈.의.저.주.가.세.상.을.삼.키.다> 어둠이 내려앉은 거대한 숲속. 사신 '라미아'의 불길한 붉은 기운이 온 세상에 안개처럼 퍼지기 시작하고, 어느새 달은 섬뜩하게 붉은색으로 물들어가고 있다. '사신 라미아님께서 이 세계에 축복을 내리실 거다!' 붉은 모래폭풍을 몰고 등장한 <파라오 미라 군단>은 사신 라미아의 봉인을 풀기 위하여 <사악한 장난꾸러기 - 큐피드데빌!>과 <귀신 게임의 설계자 - 블록마스터M>에게 하리와 친구들을 교란시킬 것을 지시하고, 사신의 붉은 기운이 깃들어 더 강력해진 귀신들이 하리와 친구들의 일상에 스며들기 시작한다! 그 사이 미라 군단은 하늘 도깨비 주비가 가진 오르의 힘을 노리고 서서히 접근하기 시작하는데... 일상을 덮치는 붉은 기운과 세상을 뒤덮은 의문의 전염병! 레드아이!! 리온에게 들리는 어둠의 속삭임! 그리고 카인!! 베일에 싸인 인물 '김청하'의 등장으로 혼란스러워 하는 하리와 강림! 더욱 치밀하고, 강력해진 뮤지컬 신비아파트 <붉은 눈의 저주> 하리와 친구들은 사신 '라미아'와 미라 군단에 맞서 위기에 빠진 세계를 구해낼 수 있을 것인가!!"
49,심청가,뮤지컬,국립극장 달오름극장,2023.09.26 ~ 2023.10.01,,,
50,써니텐,창작,대학로 하마씨어터,일시 : 2022.07.08 ~ 2023.11.30,"임재혁, 렉스, 한수인, 최하선, 배기성, 권도윤",김성윤,
51,썸데이,창작,업스테이지,일시 : 2023.09.01 ~ 2023.10.31,"김여진, 서찬양, 김아름, 이채림, 구문회, 이제성, 김선오, 윤동환, 박소진, 조윤진, 김태린, 정영원, 강민석, 김호창, 이재현, 정지환, 최이재, 박소영, 엄대, 최미정",장혁우,
52,아기 돼지 삼형제,어린이/가족,서연아트홀(구 인아소극장),2023.01.07 ~ 2023.10.31,,,
53,아기돼지야 준비해 - 청주,어린이/가족,소극장 쇠내골,2022.04.23 ~ 2023.10.10,"허선우, 이혜림, 박선령, 조재문",,“늑대가 들어오지 못하게 미리미리 준비하는 거야!” 한 마을에 아주 귀여운 아기돼지 삼형제가 살고 있었어요 형제는 노래도 부르고 춤도 추며 평화로운 일상을 보내고 있었죠 그러던 어느 날 배고픈 늑대가 나타나서 이들의 평화로운 일상이 깨졌어요! 위기에 처한 아기돼지 삼형제는 각자 자신만의 방법으로 해결책을 찾아보는데…!
54,아리 아라리 - 정선,창작,아리랑센터,일시 : 2023.04.02 ~ 2023.11.27,,,"조선시대, 경복궁 중수를 위해 강원도 정선의 우수한 소나무를 한양으로 보내라는 어명이 떨어진다. 최고의 나무꾼 ‘기목’은 사랑하는 아내 ‘정선’과 딸 ‘아리’를 뒤로 한 채, 뗏목을 몰고 한양으로 떠난다. 뛰어난 실력으로 돈을 많이 번 ‘기목’은 경복궁 완공 축하 잔치에서  예상치 못한 함정에 빠져 집에 갈 차비마저 빼앗기고 기억을 잃고 마는데... 한편, ‘기목’이 떠난 후 15년 동안 ‘기목’이 죽은 줄로 알고 제사를 지내던 가족은 장돌뱅이에게 ‘기목’이 살아있다는 소식을 듣게 되고, 숙녀가 된 ‘아리’는 당장 아버지를 찾으러 한양으로 떠나는데...."
55,아이 캔 플라이,창작,예그린씨어터,2023.09.07 ~ 2023.10.01,"정세윤, 홍준기, 이효재, 유한솔, 조예진, 임고은, 서우, 김도경, 노기표, 남수현, 박채연, 이주혜, 이지형, 예지","배상범, 김나연",
56,안동역에서 - 안동,뮤지컬,안동 한국문화테마파크 전통극장,2023.09.02 ~ 2023.12.24,"  이승욱, 유하진, 김규리, 정태연, 노승환",,"때는 1970년. 안동의 청년이었던 차선남과 김선녀는 서로에게 첫눈에 반해 사랑에 빠지게 된다. 하지만 집안의 반대에 부딪혀 이루어질 수 없는 사랑이 되고, 선녀의 결혼식 전날 함께 도망치자던 약속도 지켜지지 않는다. 첫눈 오는 날 맺었던 맹세는 허무하게 사라지고, 기차역의 기다림은 오래도록 이루어지지 않는데… 그 시절의 청춘들의 사랑과 맹세, 그리고 추억. 추억 회상 뮤지컬 ‘안동역에서’"
57,알사탕,어린이/가족,서울숲 씨어터 1관,2021.09.18 ~ 2024.03.03,"안진영, 이지민, 박혜진, 홍동하, 김나혁, 김하얀, 문용현, 임재현, 김대운",,
58,언제는 행복하지 않은 순간이 있었나요,창작,M스테이지,일시 : 2023.03.14 ~ 2023.12.31,"이리건, 한채은, 이채원, 성준희, 추연제, 이명제",,
59,언제는 행복하지 않은 순간이 있었나요 - 부산,창작,부산 엠스테이지,2023.08.31 ~ 2023.12.31,,,
60,오즈의 마법사,어린이/가족,스타스테이지 (구 원패스아트홀),2023.05.05 ~ 2023.10.29,,,
61,오페라의 유령,라이선스,샤롯데씨어터,2023.07.21 ~ 2023.11.19,"조승우, 최재림, 김주택, 전동석, 손지수, 송은혜, 송원근, 황건하, 윤영석, 이상준, 이지영, 한보라, 박회림, 김아선",,"무명 무용수였던 크리스틴은 우연히 새로운 공연의 주인공으로 발탁되고 그녀의 아름다운 노랫소리는 모두를 매료시키며 최고의 프리마돈나로 급부상한다. 분장실에 홀로 있던 크리스틴은 흰 마스크로 얼굴을 숨긴 채 나타난 유령에게 이끌려 지하미궁으로 사라진다. 크리스틴의 실종으로 혼란에 빠진 오페라 하우스에는 유령의 경고장이 한 장씩 도착한다. 다시 돌아온 크리스틴, 하지만 지하미궁 유령의 은신처에서 그의 정체를 알게 된 크리스틴은 공포에 사로잡히고 그녀를 사랑하는 귀족 청년 라울은 사랑을 맹세하며 크리스틴을 유령에게서 구해내기 위해 계획을 세우는데…"
62,왓 이프,창작,룸씨어터,2023.05.19 ~ 2023.12.31,"유소나, 이정휘, 박하은, 정세지, 김하준, 박태준, 최우성, 표혜미, 전소민, 김진솔, 성민범, 윤진웅, 권현욱, 장경원, 김정혁",,"일에 대한 열정도 사랑에 대한 호기심도 잃은 지 오래인 30대 직장인 주명.반짝반짝했던 젊음은 온데간데 사라지고 껍데기뿐인 삶만 남아 허우적거리며 살아가고 있다. 회사에서 일명 '고스트'라 불리며 무존재감으로 살아가던 중 어느날, 완벽남 차은유 과장의 등장으로 평범했던 일상이 두근거리기 시작했다. 그의 마음이 얻고 싶은 주명은 회사에서 유일하게 의지하고 고스트 동지 유신에게 고민 상담을 받게 되는데 유신은 가문 대대로 소원을 들어주는 신비한 능력이 있다며 믿을 수 없는 이야길 꺼내며 다섯 가지 소원을 들어주기로 약속한다. 과연 주명이 다섯 가지 소원으로 완벽남 차은유의 마음을 뺏을 수 있을까?"
63,원더매직의 과학마술콘서트,창작,대원 콘텐츠 라이브 극장,2023.09.09 ~ 2023.10.03,,,
64,위윌락유,라이선스,더굿씨어터,2023.09.22 ~ 2023.12.31,"곽동현, 박현규, 박준희, 동명, 연호, 이소정, 장연경, 정예인, 한유란, 황한나, 신현묵, 백승렬, 하웅환, 황인욱, 이재웅, 박신형, 유정우, 엄채윤, 박찬우, 장준환",,"전설의 기타를 뽑아들고 달릴 거야! 널 다시 만날 때까지! 2223년 픽셀 휴먼 킬러퀸이 지배하는 아이플래닛이 되어버린 지구. 모든 인간은 슈퍼컴퓨터에 의해 정해진 인생만을 살아야 하고 이를 따르지 않을 시 사살된다. 사랑과 음악, 선택의 자유가 빼앗긴 인간들 중엔 아이플래닛과 대항하기 위해 혁명군들이 결성되고 그들을 우리는 보헤미안이라고 부른다. 보헤미안의 대장 갈릴레오와 스카라무슈는 아이플래닛의 슈퍼컴퓨터를 폭파하기 위해 그들의 심장부로 잠입하지만 킬러퀸의 총사령관 카쇼기에 의해 스카라무슈가 죽고 만다. 갈릴레오는 어느 우주에선가는 스카라무슈가 살아있을 거라 생각하고 다시 그녀를 찾기 위해 전설의 기타를 뽑아들고 200년 후의 과거로 들어서는데. 과연 갈릴레오는 이곳에서 스카라무슈를 만나 다시 사랑을 이룰 수 있을까? 그리고 2223년의 지구를 아이플래닛으로부터 구해낼 수 있을까?"
65,이원복의 먼나라 이웃나라 영국여행 - 성남,어린이/가족,한국잡월드 나래울극장,2023.09.23 ~ 2023.10.21,,,
66,이토록 보통의,창작,예스24스테이지 3관,2023.08.29 ~ 2023.11.12,"최연우, 김예원, 강지혜, 임준혁, 정휘, 황휘",,
67,인사이드 윌리엄,창작,"아트원씨어터 1관원종환, 최호중, 김아영, 임준혁, 임진섭, 정지우, 이아름솔, 김수연, 김이후, 주민진, 최민우, 유태율김한솔",2023.09.12 ~ 2023.12.03,"원종환, 최호중, 김아영, 임준혁, 임진섭, 정지우, 이아름솔, 김수연, 김이후, 주민진, 최민우, 유태율",김한솔,
68,인피니티 플라잉 - 경주,퍼포먼스,경주 엑스포공원 문화센터문무홀,2023.04.04 ~ 2023.11.30,,,
69,장수탕 선녀님,어린이/가족,서울숲 씨어터 2관,일시 : 2021.09.16 ~ 2024.03.03,"한송이, 박시연, 한리예, 최승환, 최혜인, 박시온, 양다은, 이서은, 최성애, 김인섭, 이용호, 김명훈, 박나연, 변민슬, 권유진, 한혜란, 안가은, 최미성",조한나,
70,조선셰프 한상궁 - 전주,창작,전주한벽문화관 마당창극 야외공연장,2023.06.09 ~ 2023.10.27,,,
71,초콜릿 사탕,뮤지컬,해당공연 공연장,2023.03.02 ~ 2023.12.31,"이원석, 민경찬, 김은비, 안규비, 손우정, 박범수, 김주영, 강은채",,"사랑에 대한 다섯 가지 이야기 <첫사랑, 짝사랑, 사랑과 우정, 프로포즈, 끝사랑> 초콜릿과 사탕이란 매개체를 통해 유쾌하고 감각적으로 그린 옴니버스 뮤지컬이다. 사랑은 너무도 다채롭고, 광활하여 뭐라 단정 지을 수 없다. 누군가에게는 사랑이지만 누군가에게 아픔이기도 하다. [초콜릿 사탕]은 그런 사랑 이야기다. 사랑은 초콜릿처럼 향기롭고 부드러우며, 사탕처럼 촉촉하고 달콤하다. 사랑은 수 만 가지 옷을 입고 있어서 헷갈리게 하고, 종잡을 수 없게 하고, 행복하게도, 불행하게도 만든다. 또한 가장 위대한 힘을 주는 원천이기도 하다.내 인생은 내세울 것 하나 없는 평범 그 자체였다. 평범하게 지나간 내 인생에서 가장 특별한 일이 무엇인지 물어온다면, “누군가를 만나 좋았고, 그와 사랑해서 행복했다. 그 사랑을 지키기 위해 살았고, 그로 인해 힘겨운 나날이지만 웃을 수 있었다. 지금도 난 그를 사랑하기에 편히 눈을 감을 수 있다.”라고 말하겠다."
72,칠칠,창작,예스24스테이지 2관,일시 : 2023.09.05 ~ 2023.11.26,"박규원, 안재영, 김준영, 조상웅, 송유택, 김현진, 홍기범, 김주호, 이시안",,
73,킴즈,창작,KT&G 상상마당 대치아트홀,2023.09.09 ~ 2023.10.29,"강성진, 김재만, 구옥분, 김사라, 표혜미, 정아인, 니엘, 김지범",김지식,
74,타오르는 어둠 속에서,창작,링크아트센터 페이코홀,일시 : 2023.08.26 ~ 2023.11.26,"박정원, 양희준, 노윤, 한재아, 주다온, 정재환, 홍승안, 윤재호, 이영미, 문혜원, 이진혁, 황성재, 전해주, 선유하, 조민호, 박주혁, 김도원, 이지우, 김하연, 김동준",,"장애를 잊고 자유롭고 평화롭게 살아가는 ‘돈 파블로 맹인학교’의 학생들··· 그들 중 리더인 까를로스와 후아나는 모두의 부러움을 사는 우등생 커플이다. 개학 첫날, 그들만의 완전한 세상에 염세적이고 비관적인 태도의 ‘이그나시오’가 입학한다. 이후 이그나시오의 존재로 인해 학생들은 조금씩 자신들의 장애를 인식하고 자신감을 잃어간다. 까를로스와 후아나는 이를 바로잡기 위해서 나서지만 학교는 점점 더 혼란에 빠지게 되는데…"
75,투모로우 모닝,창작,아트하우스 (구.대학로 디베이스),2023.08.12 ~ 2023.09.30,"렉스, 정현준, 천관우, 김안젤라, 박혜원, 한수민, 문준혁, 임창민, 오태후, 이미경, 김소정, 김솔",,
76,투모로우 모닝,라이선스,대학로 자유극장,2023.06.03 ~ 오픈런,"렉스, 정현준, 천관우, 김안젤라, 박혜원, 한수민, 문준혁, 임창민, 오태후, 이미경, 김소정, 김솔",,
77,파라다이스 한류쇼,창작,아리수아트홀,일시 : 2012.03.01 ~ 오픈런,"김광래, 김은정, 김정란, 여하정, 이선녕, 송정현, 안장환, 이장섭, 황원준, 정호진, 곽태원, 서주영, 나미선, 백채현, 유승연",,"지상낙원 파라다이스 클럽에서 행복하게 가게를 꾸미며 사랑을 키워가는 아름다운커플. 하지만 기쁨도 잠시... 평온한 가게에 난입하여 행패를 부리는 불량배들. 그들의 두목이 원하는 건 돈과 청년의 연인. 돈과 사랑을 빼앗긴 청년은 방황을 하며 여인을 그리워하고, 그런 청년을 바라보는 여인은 눈물을 흘린다. 청년은 두목에게 돈과 사랑을 놓고 대결을 신청하는데.. 과연 청년은 돈과 사랑을 되찾아 행복했던 시절로 돌아갈 수 있을까?"
78,판,창작,대학로 티오엠 1관,2023.09.19 ~ 2023.11.26,"김지철, 문성일, 현석준, 원종환, 김지훈, 김국희, 박은미, 김지혜, 박란주, 송영미, 류경환, 김효성, 임소라, 서원, 최영석","정인석, 박윤솔","19세기 말 조선. 서민들 사이에서 흉흉한 세상을 풍자하는 패관소설들이 퍼지자 세책가를 중심으로 소설들을 모두 거둬 불태워버리라는 명령이 떨어진다. 과거시험에는 별 다른 관심이 없던 부잣집 도련님 달수는 어느 날 세책가 앞에서 우연히 보게 된 이덕에 반해 한 매설방 앞에 당도하게 된다. 시대를 읽는 눈을 가진 밝은 여성, 춘섬이 운영하는 매설방에서 이덕은 이야기를 읽는 전기수를 위한 소설을 필사하고 있다. 달수는 그곳에서 조선의 여인들을 이야기로 홀린 희대의 전기수 호태를 만나 금지된 이야기의 맛에 서서히 빠져들고, 급기야 호태를 따라다니며 '낭독의 기술까지 전수받게 되는데..."
79,패밀리 매직쇼 - 화성,어린이/가족,더퍼포머 씨어터,2023.07.27 ~ 2023.09.30,,,
80,페인터즈,퍼포먼스,경향아트힐,2022.11.01 ~ 2023.10.31,,,
81,페인터즈,퍼포먼스2023.07.07 ~ 2023.12.31명보아트홀,명보아트홀,2023.07.07 ~ 2023.12.31,,,
82,프리다,창작,코엑스 신한카드 아티움,2023.08.01 ~ 2023.10.15,"김소향, 알리, 김히어라, 전수미, 리사, 스테파니, 임정희, 정영아, 이아름솔, 최서연, 박시인, 허혜진, 황우림","엄홍현, 허수현","인생은 무엇일까? 죽음은 무엇일까? 산다는 것과 죽는다는 것의 경계에서 이 쇼는 시작된다. THE LAST NIGHT SHOW 오늘의 주인공으로 소개되는 이는 멕시코 화가 프리다 칼로! 세 명의 크루들과 함께 들려주는 그녀의 삶. 인생 변곡점의 순간마다 그녀가 어떤 선택을 했는지에 대한 이야기를 따라가다 보면 우리는 이 쇼가 그냥 평범한 쇼가 아님을 알게 된다. 인생의 마지막 날. 눈을 감기 전 펼쳐진다는 파노라마가 이 쇼의 진짜 이야기였다는 것을 알게 된 순간 그녀의 심장은 멈춘다. 그리고 비로소 시작된다. 신체적 고통과 정신적 고통, 그 모든 것을 그림과 예술, 위트로 승화시킨 그녀의 진짜 쇼가 말이다."
83,프리즌,창작구,에이치씨어터,일시 : 2021.05.01 ~ 2023.10.31,"손동진, 최승환, 홍차민, 안중현, 김세훈, 신연우, 하준석, 이강오, 김동훈, 추정민, 조웅희, 윤선우, 한미래, 장수빈, 강유진",우윤,가수의 꿈을 안고 혹독한 준비를 해왔지만 사기를 당한 청년들! 갚을 돈을 만들기 위해 은행털이까지 결심하지만 준비 부족으로 결국 경찰에게 포위되고 만다. 훔친 현금을 어딘가 숨겨놓은 채 교도소에 들어간 일당은 탈출 후 현금을 찾아 해외 도피 계획을 세우지만 쉽지가 않다. 설상가상 함께 수감된 방장을 재밌게 해야하는 이유로 매일 춤과 노래 트레이닝을 당한다. 얼마 후 기발한 아이디어로 탈옥에 성공한 이들은 돈을 숨겨둔 은행을 찾아가지만그 자리엔 은행 대신 클럽이 생겨났다. 숨겨진 현금을 찾기 위해 클럽에 밴드로 취직한 이들은 경찰의 추적을 피해 다양한 콘셉트로 변장해 밴드로 활동하기에 이른다. 숨겨둔 돈은 보이지 않고 밴드는 점점 유명세를 얻기 시작한다. 그러던 어느 날 이들에게 음반 출시 제안이 들어오고 그 음반은 대박행진을 치게 되는데! 운명의 나침반은 앞으로 이들에게 어떤 방향을 안내할까?
84,하트시그널,창작,대학로 하마씨어터,2022.11.02 ~ 2023.11.30,"손영우, 염승윤, 김여진, 한미래, 지인규, 임재혁",김성윤,"숨막히는 피지컬, 실력, 외모 뭐하나 빠지지 않는 쇼호스트 김한을 짝사랑하는 세현. 자신에게 관심조차 보이지 않는 김한이지만 세현의 마음은 온통 김한으로 가득차있고, 20년 동안세현만 바라보는 순정남 재길이가 스토커처럼 느껴진다. 서로를 향한 마음이 다른 세현과 재길은 답답함에 다투고 그날 밤 하루만 몸이 바뀌길 바라며 잠든다. 다음날 거울을 본 세현과 재길은 믿을 수 없는 광경에 경악을 한다. 도대체 나한테 무슨짓을 한거야?!"
85,해적악단의 모험 - 청주,어린이/가족,오즈아트홀,2023.07.14 ~ 2023.09.30,"김창선, 오혜미, 정효진, ",,
86,헬로 고스트,뮤지컬,해당공연 공연장,2023.03.02 ~ 2023.12.31,"엄희준, 민나리, 최정윤, 이승준, 장문수",,"한적한 어느 학교 소희라는 학생의 전학 소식 낯선 학생의 출연으로 학교의 아이들은 그를 경계하는 눈초리다. 하지만 소희는 이상하게도 왕따를 자처하며 학교생활을 이어간다. 모두가 소희를 괴롭히고 경계하지만, 일우라는 잘생긴 남학생은 소희의 둘도 없는 친구가 되어 준다. 소희를 괴롭히는 학생들에게 왕따 신분의 소희는 술. 담배. 행동들에 대해 지적을 하면서 그들의 요구를 들어주는 알 수 없는 행동을 하며 소희의 유일한 친구 일우의 신비스러운 행동들. 모든 것이 의문점투성이다. 왕따를 자처한 이상한 전학생 그리고 그를 위하는 한 남자 그들의 좌충우돌 스토리"
87,후크,창작,아트원씨어터 2관,2023.09.05 ~ 2023.11.26,"손유동, 박상혁, 최호승, 김도빈, 동현, 김지온, 정우연, 김주연, 최미소","노재한, 박정인, 김희은","런던에서 공장을 운영하는 공장장 제임스. 제임스는 어린 시절 형 데이비드가 실종된 후로 자신을 데이비드라 부르는 미쳐버린 어머니와 밤마다 이상한 놀이를 하며 살아간다. 그러던 어느 날, 어머니가 사라져버리고... 뒤틀려버린 현실로부터 도망가고 싶은 제임스귓가에 모든 걸 잊어도 된다는 속삭임이 들려온다. 제임스는 어머니의 자취를 따라, 그리고 그 소리를 따라 네버랜드에 도착하고, 그곳에서 만난 피터팬과 웬디의 이야기 놀이에 빠져 현실을 잠시 잊고 네버랜드의 후크가 되어 가는데...."
88,흥놀부뎐,어린이/가족,홍해성 소극장,2023.08.15 ~ 2023.09.30,"강민주, 강동현, 이윤경, 고종승",,
